,date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT,HUFL_HULL,MUFL_MULL,LUFL_LULL
0,1/07/2016 0:00,5.827000141,2.009000063,1.598999977,0.462000012,4.203000069,1.340000033,30.53100014,3.9180001019999997,1.0304999945,2.771500051
1,1/07/2016 1:00,5.69299984,2.075999975,1.491999984,0.425999999,4.142000198,1.371000051,27.78700066,3.8844999075,0.9589999915,2.7565001245
2,1/07/2016 2:00,5.157000065,1.741000056,1.279000044,0.354999989,3.77699995,1.218000054,27.78700066,3.4490000605,0.8170000165,2.4975000019999998
3,1/07/2016 3:00,5.090000153,1.942000031,1.279000044,0.391000003,3.806999922,1.279000044,25.04400063,3.516000092,0.8350000235,2.542999983
4,1/07/2016 4:00,5.357999802,1.942000031,1.491999984,0.462000012,3.868000031,1.279000044,21.94799995,3.6499999165,0.976999998,2.5735000374999997
5,1/07/2016 5:00,5.625999928,2.142999887,1.527999997,0.532999992,4.051000118,1.371000051,21.17399979,3.8844999075,1.0304999945,2.7110000845
6,1/07/2016 6:00,7.166999817,2.947000027,2.131999969,0.782000005,5.026000023,1.85800004,22.79199982,5.056999922,1.456999987,3.4420000315
7,1/07/2016 7:00,7.434999943,3.282000065,2.309999943,1.031000018,5.086999893,2.223999977,23.1439991,5.358500004,1.6704999804999998,3.655499935
8,1/07/2016 8:00,5.559000015,3.013999939,2.451999903,1.172999978,2.954999924,1.432000041,21.66699982,4.286499977,1.8124999405,2.1934999825
9,1/07/2016 9:00,4.554999828,2.545000076,1.91900003,0.816999972,2.680000067,1.371000051,17.44599915,3.549999952,1.368000001,2.025500059
10,1/07/2016 10:00,4.956999779,2.545000076,1.99000001,0.852999985,2.954999924,1.491999984,19.97900009,3.7509999275,1.4214999975,2.2234999540000002
11,1/07/2016 11:00,5.760000229,2.545000076,2.203000069,0.852999985,3.441999912,1.491999984,20.11899948,4.1525001525,1.5280000269999998,2.4669999479999998
12,1/07/2016 12:00,4.68900013,2.545000076,1.812000036,0.852999985,2.832999945,1.523000002,19.20499992,3.617000103,1.3325000105,2.1779999735
13,1/07/2016 13:00,4.68900013,2.678999901,1.77699995,1.243999958,3.107000113,1.613999963,18.5720005,3.6840000155,1.5104999540000001,2.3605000379999996
14,1/07/2016 14:00,5.090000153,2.947000027,2.451999903,1.350000024,2.559000015,1.432000041,19.55599976,4.01850009,1.9009999635,1.995500028
15,1/07/2016 15:00,5.090000153,3.148000002,2.486999989,1.350000024,2.588999987,1.523000002,17.30500031,4.1190000775,1.9185000065,2.0559999945
16,1/07/2016 16:00,4.21999979,2.411000013,1.70599997,0.782000005,2.618999958,1.491999984,19.48600006,3.3154999015,1.2439999875,2.0554999709999997
17,1/07/2016 17:00,4.756000042,2.344000101,1.63499999,0.711000025,3.075999975,1.491999984,19.13400078,3.5500000715,1.1730000075,2.2839999795
18,1/07/2016 18:00,5.625999928,2.880000114,2.523000002,1.207999945,3.075999975,1.491999984,20.68199921,4.253000021,1.8654999735,2.2839999795
19,1/07/2016 19:00,5.492000103,3.013999939,2.451999903,1.207999945,3.015000105,1.552999973,18.71199989,4.253000021,1.829999924,2.284000039
20,1/07/2016 20:00,5.357999802,3.013999939,2.451999903,1.207999945,2.862999916,1.523000002,17.86800003,4.1859998705,1.829999924,2.192999959
21,1/07/2016 21:00,5.090000153,2.947000027,2.381000042,1.207999945,2.680000067,1.523000002,18.00900078,4.01850009,1.7944999935000001,2.1015000345
22,1/07/2016 22:00,4.822999954,2.947000027,2.203000069,1.172999978,2.618999958,1.523000002,18.00900078,3.8849999905,1.6880000235,2.07099998
23,1/07/2016 23:00,4.622000217,2.880000114,2.131999969,1.136999965,2.467000008,1.491999984,19.76799965,3.7510001655,1.634499967,1.979499996
24,2/07/2016 0:00,5.223999977,3.08100009,2.700999975,1.315000057,2.437000036,1.523000002,21.10400009,4.1525000335,2.008000016,1.9800000190000002
25,2/07/2016 1:00,5.157000065,3.013999939,2.878000021,1.350000024,2.345000029,1.432000041,19.6970005,4.085500002,2.1140000225,1.8885000349999999
26,2/07/2016 2:00,5.157000065,3.148000002,2.878000021,1.491999984,2.28399992,1.432000041,20.04899979,4.1525000335,2.1850000025,1.8579999804999998
27,2/07/2016 3:00,5.157000065,3.08100009,2.914000034,1.491999984,2.193000078,1.401000023,20.75200081,4.1190000775,2.203000009,1.7970000505
